[00:00:00 - 00:00:11] 【段落-1】今天有点.
[00:36:44 - 00:38:20] 【段落-5】目前就是关于这些指标，咱们这个数量值这个您可以大概给我们讲一下吗？嗯啊这个咱们去年定了多少的指标.
[00:38:20 - 00:38:24] 【段落-1】去？
[00:38:24 - 00:38:42] 【段落-1】我们是这样，我们就是
[00:38:45 - 00:38:55] 【段落-1】呃嗯
[00:39:03 - 00:39:55] 【段落-1】专业的这个分公司，就是咱们这几家合同额基本上都是25，就是每年都是25，签.
[00:39:55 - 00:40:06] 【段落-4】合同额是25，
[00:40:06 - 00:40:49] 【段落-1】但是一般都完不成，啊去年就是西南是15.
[00:40:51 - 00:41:07] 【段落-2】15 14 14:00多.
[00:41:07 - 00:41:14] 【段落-1】轨交是.
[00:41:14 - 00:41:28] 【段落-2】15，啊.
[00:41:28 - 00:42:42] 【段落-1】就是我们有现在我们这个有6大分公司，就是按5局安装公司有6大分公司，一般的时候都是完不成嗯
[00:42:43 - 00:42:56] 【段落-1】一般的时候都是嗯
[00:43:00 - 00:43:15] 【段落-1】安装公司能完成，下边的.
[00:43:15 - 00:43:27] 【段落-4】这些分公司.
[00:43:27 - 00:44:55] 【段落-1】都完不成，噢噢噢就是领导们的联系什么还是有保证的，这个我们完不成，去年咱们就属于完成了，就是所有的分公司里边
[00:44:56 - 00:46:15] 【段落-1】就咱们完成了，嗯对，然后今年他也不会变，因为市场现在是在下行嗯嗯不会变，基本上就是25左右，嗯.
[00:46:15 - 00:46:54] 【段落-4】就是目标基本不变，但是我们今年是完成的比较好，
[00:46:54 - 00:47:26] 【段落-1】对，我们是我们这个华北公司在5年
[00:47:27 - 00:48:33] 【段落-1】以前我们订了十四五的规划，就是明年是收收官之年2025，嗯我们是预计是
[00:48:36 - 00:49:24] 【段落-1】这个华北公司要冲到这个50亿，就相当于提前一年完成了5年的规划，
[00:49:24 - 00:49:25] 【段落-2】嗯.
[00:49:25 - 00:49:38] 【段落-4】对嗯。
[00:49:48 - 00:49:59] 【段落-4】嗯我们大概有多少人？
